DateTime,temp,hum,wind,gen_diffuse_flows,z1_power_cons,z2_power_cons,z3_power_cons,hour,day_of_week,month,day
2017-01-01 00:10:00,8.379720402187512,76.8990515135284,4.439211961821243,2.499204835418153,29818.165812296527,19377.955827155645,20133.916227295977,3.727269072685305,8.55305057031515,3.5523298811768838,3.176352645110578
2017-01-01 00:20:00,8.278720402187513,76.8990515135284,4.436211961821243,2.491204835418153,29131.583542296525,19009.566767155644,19671.265617295976,3.727269072685305,8.55305057031515,3.5523298811768838,3.176352645110578
2017-01-01 00:30:00,8.086720402187513,77.3990515135284,4.439211961821243,2.5202048354181534,28232.343032296525,18363.974057155643,18902.108997295974,3.727269072685305,8.55305057031515,3.5523298811768838,3.176352645110578
2017-01-01 00:40:00,7.886720402187514,78.09905151352842,4.4372119618212436,2.4772048354181533,27339.178472296524,17875.220267155644,18445.241527295977,3.727269072685305,8.55305057031515,3.5523298811768838,3.176352645110578
2017-01-01 00:50:00,7.818720402187513,79.29905151352841,4.4372119618212436,2.4882048354181534,26628.292402296527,17419.293207155642,18132.952367295977,3.727269072685305,8.55305057031515,3.5523298811768838,3.176352645110578
2017-01-01 01:00:00,7.606720402187514,80.09905151352842,4.436211961821243,2.4772048354181533,26002.469612296525,16996.192907155644,17947.892127295974,4.727269072685305,8.55305057031515,3.5523298811768838,3.176352645110578
2017-01-01 01:10:00,7.461720402187514,80.59905151352842,4.441211961821243,2.4842048354181534,25449.558222296524,16664.278017155644,17462.108997295974,4.727269072685305,8.55305057031515,3.5523298811768838,3.176352645110578
2017-01-01 01:20:00,7.643720402187514,80.4990515135284,4.4372119618212436,2.495204835418153,24781.203792296525,16230.235457155644,17028.374057295976,4.727269072685305,8.55305057031515,3.5523298811768838,3.176352645110578
2017-01-01 01:30:00,7.456720402187513,79.69905151352842,4.438211961821243,2.491204835418153,24282.975942296525,15942.089567155645,16797.048757295976,4.727269072685305,8.55305057031515,3.5523298811768838,3.176352645110578
2017-01-01 01:40:00,7.481720402187514,79.8990515135284,4.4372119618212436,2.4802048354181534,23900.191132296524,15438.746097155645,16640.904177295975,4.727269072685305,8.55305057031515,3.5523298811768838,3.176352645110578
2017-01-01 01:50:00,7.436720402187514,79.09905151352842,4.439211961821243,2.4882048354181534,23547.786072296527,15216.253697155644,16398.012607295976,4.727269072685305,8.55305057031515,3.5523298811768838,3.176352645110578
2017-01-01 02:00:00,7.024720402187514,80.9990515135284,4.4372119618212436,2.499204835418153,23007.026572296527,15172.484697155644,16120.422247295975,5.727269072685305,8.55305057031515,3.5523298811768838,3.176352645110578
2017-01-01 02:10:00,6.933720402187514,81.19905151352842,4.440211961821243,2.499204835418153,22332.596192296525,14712.910237155644,15825.482487295976,5.727269072685305,8.55305057031515,3.5523298811768838,3.176352645110578
2017-01-01 02:20:00,6.940720402187513,81.29905151352841,4.439211961821243,2.4842048354181534,22095.634172296526,14424.764337155644,15675.121047295976,5.727269072685305,8.55305057031515,3.5523298811768838,3.176352645110578
2017-01-01 02:40:00,6.985720402187513,82.09905151352842,4.4372119618212436,2.4802048354181534,21688.545562296524,13968.837287155644,15513.193337295976,5.727269072685305,8.55305057031515,3.5523298811768838,3.176352645110578
2017-01-01 03:00:00,7.134720402187513,80.29905151352841,4.439211961821243,2.495204835418153,21111.330372296525,13538.442147155643,15143.072847295974,6.727269072685305,8.55305057031515,3.5523298811768838,3.176352645110578
